Phon1	Phon2	Phon3	Count	Centered Prob(Phon2 | Phon1 ... Phon3)
m	V	D	16	0.5
P	h	8	1	0.5
D	@	f	1	0.5
u	J	9	2	0.5
Z	@	t	1	0.5
H	w	U	1	0.5
J	t	6	1	0.5
8	h	6	1	0.5
{	_	9	7	0.5
m	s	w	1	0.5
S	I	5	4	0.5
6	h	3	1	0.5
k	{	Z	5	0.5
U	k	6	1	0.5
J	U	g	3	0.5
6	n	S	1	0.5
H	t	Q	1	0.5
w	$	h	2	0.5
d	I	D	1	0.5
@	t	q	1	0.5
z	I	p	7	0.5
5	$	T	1	0.5
z	h	6	1	0.5
i	z	q	1	0.5
#	j	3	1	0.5
g	j	w	1	0.5
m	p	w	1	0.5
V	t	6	1	0.5
D	8	f	1	0.5
J	d	6	1	0.5
S	u	h	1	0.5
5	j	9	1	0.5
v	b	3	1	0.5
{	g	~	1	0.5
3	k	h	2	0.5
6	n	{	3	0.5
@	m	b	7	0.5
1	k	V	4	0.5
H	t	1	1	0.5
Q	v	D	1	0.5
7	n	d	1	0.5
E	l	6	1	0.5
h	{	J	8	0.5
g	P	w	1	0.5
k	w	3	11	0.5
Q	f	D	1	0.5
P	s	n	1	0.5
6	E	v	1	0.5
P	b	Q	2	0.5
7	r	1	3	0.5
1	n	J	1	0.5
@	g	~	1	0.5
J	f	$	2	0.5
H	m	@	6	0.5
1	k	8	2	0.5
n	t	q	1	0.5
U	t	p	5	0.5
5	#	T	1	0.5
@	k	q	1	0.5
h	6	I	1	0.5
6	t	S	1	0.5
$	t	h	6	0.5
1	f	8	2	0.5
6	g	3	1	0.5
d	@	D	1	0.5
E	r	2	1	0.5
P	p	4	1	0.5
V	m	Q	1	0.5
z	d	6	1	0.5
Z	E	t	1	0.5
P	k	l	2	0.5
v	f	i	1	0.5
h	#	T	2	0.5
 	p	0	1	0.5
6	t	Q	1	0.5
{	J	U	5	0.5
E	n	2	1	0.5
E	N	g	5	0.5
u	E	_	1	0.5
6	p	Q	1	0.5
S	8	h	1	0.5
#	t	f	5	0.5
1	k	J	1	0.5
P	b	4	1	0.5
h	2	w	2	0.5
P	E	n	1	0.5
5	I	S	2	0.5
g	@	h	4	0.5
S	r	6	3	0.5
g	E	D	4	0.5
Z	I	g	1	0.5
U	l	6	1	0.5
1	t	T	2	0.5
U	l	5	4	0.5
2	d	7	12	0.5
2	d	J	1	0.5
P	E	_	1	0.5
7	d	$	1	0.5
g	{	D	4	0.5
U	r	#	3	0.5
D	1	d	2	0.5
J	l	2	4	0.5
g	@	J	1	0.5
g	I	N	14	0.5
s	m	q	1	0.5
t	i	j	2	0.5
N	k	n	3	0.5
m	p	i	11	0.5
u	t	9	2	0.5
@	r	~	1	0.5
7	{	d	1	0.5
J	@	S	1	0.5
U	r	U	1	0.5
i	s	q	1	0.5
N	b	3	3	0.5
2	f	U	1	0.5
P	1	_	1	0.5
6	J	5	1	0.5
5	p	9	1	0.5
v	w	3	1	0.5
I	s	F	1	0.5
P	g	l	2	0.5
z	b	4	1	0.5
u	I	_	1	0.5
u	w	8	1	0.5
s	1	q	1	0.5
E	l	3	1	0.5
Q	k	6	3	0.5
#	f	3	1	0.5
h	u	E	1	0.5
U	l	U	1	0.5
2	w	U	1	0.5
V	g	6	1	0.5
h	6	E	1	0.5
H	h	U	1	0.5
1	_	3	1	0.5
7	t	$	1	0.5
{	l	4	1	0.5
d	l	I	222	0.496644295302013
t	I	f	96	0.494845360824742
V	n	f	41	0.493975903614458
f	l	V	32	0.492307692307692
d	j	U	31	0.492063492063492
s	t	7	30	0.491803278688525
k	r	i	84	0.491228070175439
d	I	z	54	0.490909090909091
Q	n	v	26	0.490566037735849
2	@	t	47	0.489583333333333
n	{	J	23	0.48936170212766
l	j	U	23	0.48936170212766
{	l	v	22	0.488888888888889
f	I	N	20	0.48780487804878
r	I	_	98	0.487562189054726
$	l	d	19	0.487179487179487
 	@	b	149	0.486928104575163
p	r	I	279	0.486062717770035
b	r	E	49	0.485148514851485
 	I	m	320	0.484848484848485
z	@	r	15	0.483870967741935
2	@	r	88	0.483516483516484
f	I	z	27	0.482142857142857
v	I	_	27	0.482142857142857
V	n	w	13	0.481481481481481
T	r	E	13	0.481481481481481
{	k	J	12	0.48
g	j	9	12	0.48
d	I	k	173	0.479224376731302
w	I	J	23	0.479166666666667
p	r	@	189	0.477272727272727
g	r	@	73	0.477124183006536
f	l	1	40	0.476190476190476
